,OverallQual,GrLivArea,YearBuilt,GarageArea,TotalBsmtSF,1stFlrSF,YearRemodAdd,GarageYrBlt,KitchenQual,SalePrice
0,7,1710,2003,548,856,856,2003,2003,Gd,208500
1,6,1262,1976,460,1262,1262,1976,1976,TA,181500
2,7,1786,2001,608,920,920,2002,2001,Gd,223500
3,7,1717,1915,642,756,961,1970,1998,Gd,140000
4,8,2198,2000,836,1145,1145,2000,2000,Gd,250000
5,5,1362,1993,480,796,796,1995,1993,TA,143000
6,8,1694,2004,636,1686,1694,2005,2004,Gd,307000
7,7,2090,1973,484,1107,1107,1973,1973,TA,200000
8,7,1774,1931,468,952,1022,1950,1931,TA,129900
9,5,1077,1939,205,991,1077,1950,1939,TA,118000
10,5,1040,1965,384,1040,1040,1965,1965,TA,129500
11,9,2324,2005,736,1175,1182,2006,2005,Ex,345000
12,5,912,1962,352,912,912,1962,1962,TA,144000
13,7,1494,2006,840,1494,1494,2007,2006,Gd,279500
14,6,1253,1960,352,1253,1253,1960,1960,TA,157000
15,7,854,1929,576,832,854,2001,1991,TA,132000
16,6,1004,1970,480,1004,1004,1970,1970,TA,149000
17,4,1296,1967,516,0,1296,1967,1967,TA,90000
18,5,1114,2004,576,1114,1114,2004,2004,Gd,159000
19,5,1339,1958,294,1029,1339,1965,1958,TA,139000
20,8,2376,2005,853,1158,1158,2006,2005,Gd,325300
21,7,1108,1930,280,637,1108,1950,1930,Gd,139400
22,8,1795,2002,534,1777,1795,2002,2002,Gd,230000
23,5,1060,1976,572,1040,1060,1976,1976,TA,129900
24,5,1060,1968,270,1060,1060,2001,1968,Gd,154000
25,8,1600,2007,890,1566,1600,2007,2007,Gd,256300
26,5,900,1951,576,900,900,2000,2005,Gd,134800
27,8,1704,2007,772,1704,1704,2008,2008,Gd,306000
28,5,1600,1957,319,1484,1600,1997,1957,TA,207500
29,4,520,1927,240,520,520,1950,1920,Fa,68500
30,4,1317,1920,250,649,649,1950,1920,TA,40000
31,5,1228,1966,271,1228,1228,2006,1966,Gd,149350
32,8,1234,2007,484,1234,1234,2007,2007,Gd,179900
33,5,1700,1959,447,1398,1700,1959,1959,Gd,165500
34,9,1561,2005,556,1561,1561,2005,2005,Ex,277500
35,8,2452,2004,691,1117,1132,2005,2004,Gd,309000
36,5,1097,1994,672,1097,1097,1995,1995,TA,145000
37,5,1297,1954,498,1297,1297,1990,1954,TA,153000
38,5,1057,1953,246,1057,1057,2007,1953,Gd,109000
39,4,1152,1955,0,0,1152,1955,1980,Fa,82000
40,6,1324,1965,440,1088,1324,1965,1965,TA,160000
41,5,1328,1959,308,1350,1328,1959,1959,TA,170000
42,5,884,1983,504,840,884,1983,1983,Gd,144000
43,5,938,1975,308,938,938,1980,1977,TA,130250
44,5,1150,1959,300,1150,1150,1959,1959,TA,141000
45,9,1752,2005,576,1752,1752,2005,2005,Ex,319900
46,7,2149,2003,670,1434,1518,2003,2003,Gd,239686
47,8,1656,2006,826,1656,1656,2006,2006,Gd,249700
48,4,1452,1920,0,736,736,2008,1980,TA,113000
49,5,955,1966,386,955,955,1966,1966,TA,127000
50,6,1470,1997,388,794,794,1997,1997,TA,177000
